Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,11,100,100,0,0,4,245,2192,100,100,0.0667984843,49.9181765157,9.0909090909,15.1205632432,1.0000000000,0.9960000000,200.8032128514
2,100,0,13,100,100,0,0,4,237,2122,100,100,0.0697529488,49.8484235669,7.6923076923,14.9605634962,1.0000000000,0.9896000000,202.1018593371
3,100,0,10,100,100,0,0,4,250,2305,100,100,0.0654263394,49.7829972276,10.0000000000,15.2005661602,1.0000000000,1.0000000000,200.0000000000
4,100,0,12,100,100,0,0,4,246,2227,100,100,0.0664444673,49.7165527603,8.3333333333,15.0405636267,1.0000000000,0.9968000000,200.6420545746
5,100,0,9,100,100,0,0,4,245,2259,100,100,0.0615076379,49.6550451224,11.1111111111,15.2805689244,1.0000000000,0.9960000000,200.8032128514
6,100,0,11,100,100,0,0,4,248,2312,100,100,0.0672786155,49.5877665069,9.0909090909,15.1205609485,1.0000000000,0.9984000000,200.3205128205
7,100,0,10,100,100,0,0,4,253,2362,100,100,0.0625792384,49.5251872685,10.0000000000,15.2005568018,1.0000000000,1.0024000000,199.5211492418
8,100,0,12,100,100,0,0,4,255,2331,100,100,0.0662938648,49.4588934036,8.3333333333,15.0405603039,1.0000000000,1.0040000000,199.2031872510
9,100,0,12,100,100,0,0,4,252,2286,100,100,0.0639496883,49.3949437153,8.3333333333,15.0405609554,1.0000000000,1.0016000000,199.6805111821
10,100,0,12,100,100,0,0,4,245,2233,100,100,0.0676366426,49.3273070727,8.3333333333,15.0405619030,1.0000000000,0.9960000000,200.8032128514
11,100,0,12,100,100,0,0,4,252,2274,100,100,0.0649755949,49.2623314779,8.3333333333,15.0405550176,1.0000000000,1.0016000000,199.6805111821
12,100,0,12,100,100,0,0,4,240,2107,100,100,0.0654321001,49.1968993777,8.3333333333,15.0405531095,1.0000000000,0.9920000000,201.6129032258
13,100,0,12,100,100,0,0,4,256,2412,100,100,0.0690812847,49.1278180930,8.3333333333,15.0405523295,1.0000000000,1.0048000000,199.0445859873
14,100,0,10,100,100,0,0,4,260,2452,100,100,0.0636869709,49.0641311221,10.0000000000,15.2005563601,1.0000000000,1.0080000000,198.4126984127
15,100,0,13,100,100,0,0,4,253,2331,100,100,0.0671071858,48.9970239363,7.6923076923,14.9605623718,1.0000000000,1.0024000000,199.5211492418
16,100,0,11,100,100,0,0,4,241,2187,100,100,0.0619033406,48.9351205957,9.0909090909,15.1205606623,1.0000000000,0.9928000000,201.4504431910
17,100,0,11,100,100,0,0,4,246,2237,100,100,0.0683647927,48.8667558031,9.0909090909,15.1205679328,1.0000000000,0.9968000000,200.6420545746
18,100,0,11,100,100,0,0,4,246,2273,100,100,0.0638915477,48.8028642554,9.0909090909,15.1205756479,1.0000000000,0.9968000000,200.6420545746
19,100,0,11,100,100,0,0,4,235,2050,100,100,0.0616325341,48.7412317213,9.0909090909,15.1205597309,1.0000000000,0.9880000000,202.4291497976
20,100,0,11,100,100,0,0,4,245,2225,100,100,0.0662621367,48.6749695846,9.0909090909,15.1205499728,1.0000000000,0.9960000000,200.8032128514
21,100,0,11,100,100,0,0,4,238,2107,100,100,0.0639802634,48.6109893212,9.0909090909,15.1205584313,1.0000000000,0.9904000000,201.9386106624
22,100,0,10,100,100,0,0,4,242,2158,100,100,0.0604578142,48.5505315070,10.0000000000,15.2005608551,1.0000000000,0.9936000000,201.2882447665
23,100,0,10,100,100,0,0,4,240,2135,100,100,0.0599061917,48.4906253153,10.0000000000,15.2005579816,1.0000000000,0.9920000000,201.6129032258
24,100,0,12,100,100,0,0,4,250,2290,100,100,0.0669857751,48.4236395402,8.3333333333,15.0405608871,1.0000000000,1.0000000000,200.0000000000
25,100,0,12,100,100,0,0,4,250,2276,100,100,0.0686765203,48.3549630199,8.3333333333,15.0405589625,1.0000000000,1.0000000000,200.0000000000
26,100,0,14,100,100,0,0,4,241,2131,100,100,0.0708162794,48.2841467405,7.1428571429,14.8805736555,1.0000000000,0.9928000000,201.4504431910
27,100,0,11,100,100,0,0,4,249,2245,100,100,0.0657711199,48.2183756206,9.0909090909,15.1205581554,1.0000000000,0.9992000000,200.1601281025
28,100,0,14,100,100,0,0,4,244,2244,100,100,0.0682885800,48.1500870406,7.1428571429,14.8805540954,1.0000000000,0.9952000000,200.9646302251
29,100,0,11,100,100,0,0,4,251,2299,100,100,0.0658129205,48.0842741201,9.0909090909,15.1205620072,1.0000000000,1.0008000000,199.8401278977
30,100,0,11,100,100,0,0,4,247,2247,100,100,0.0655001761,48.0187739440,9.0909090909,15.1205626674,1.0000000000,0.9976000000,200.4811547715
31,100,0,11,100,100,0,0,4,250,2265,100,100,0.0641484988,47.9546254452,9.0909090909,15.1205759999,1.0000000000,1.0000000000,200.0000000000
32,100,0,11,100,100,0,0,4,249,2208,100,100,0.0641964849,47.8904289604,9.0909090909,15.1205587748,1.0000000000,0.9992000000,200.1601281025
33,100,0,11,100,100,0,0,4,244,2181,100,100,0.0639720486,47.8264569118,9.0909090909,15.1205463485,1.0000000000,0.9952000000,200.9646302251
34,100,0,13,100,100,0,0,4,245,2224,100,100,0.0708374499,47.7556194619,7.6923076923,14.9605691813,1.0000000000,0.9960000000,200.8032128514
35,100,0,14,100,100,0,0,4,247,2242,100,100,0.0715117284,47.6841077335,7.1428571429,14.8805627412,1.0000000000,0.9976000000,200.4811547715
36,100,0,12,100,100,0,0,4,243,2157,100,100,0.0674230127,47.6166847208,8.3333333333,15.0405561973,1.0000000000,0.9944000000,201.1263073210
37,100,0,12,100,100,0,0,4,248,2264,100,100,0.0685906750,47.5480940458,8.3333333333,15.0405600132,1.0000000000,0.9984000000,200.3205128205
38,100,0,12,100,100,0,0,4,253,2292,100,100,0.0664573880,47.4816366578,8.3333333333,15.0405540051,1.0000000000,1.0024000000,199.5211492418
39,100,0,18,100,100,0,0,4,239,2173,100,100,0.0718643561,47.4097723017,5.5555555556,14.5605586174,1.0000000000,0.9912000000,201.7756255044
40,100,0,10,100,100,0,0,4,250,2255,100,100,0.0640871023,47.3456851994,10.0000000000,15.2005564891,1.0000000000,1.0000000000,200.0000000000
41,100,0,9,100,100,0,0,4,250,2279,100,100,0.0618876410,47.2837975584,11.1111111111,15.2805737373,1.0000000000,1.0000000000,200.0000000000
42,100,0,10,100,100,0,0,4,245,2172,100,100,0.0626545160,47.2211430424,10.0000000000,15.2005670271,1.0000000000,0.9960000000,200.8032128514
43,100,0,11,100,100,0,0,4,240,2088,100,100,0.0648388866,47.1563041558,9.0909090909,15.1205746980,1.0000000000,0.9920000000,201.6129032258
44,100,0,11,100,100,0,0,4,244,2211,100,100,0.0636277084,47.0926764475,9.0909090909,15.1205718599,1.0000000000,0.9952000000,200.9646302251
45,100,0,9,100,100,0,0,4,237,2124,100,100,0.0564497837,47.0362266637,11.1111111111,15.2805586972,1.0000000000,0.9896000000,202.1018593371
46,100,0,13,100,100,0,0,4,242,2251,100,100,0.0692177279,46.9670089358,7.6923076923,14.9605591929,1.0000000000,0.9936000000,201.2882447665
47,100,0,11,100,100,0,0,4,250,2237,100,100,0.0614868024,46.9055221334,9.0909090909,15.1205588061,1.0000000000,1.0000000000,200.0000000000
48,100,0,11,100,100,0,0,4,241,2128,100,100,0.0626357955,46.8428863379,9.0909090909,15.1205575120,1.0000000000,0.9928000000,201.4504431910
49,100,0,13,100,100,0,0,4,243,2199,100,100,0.0695884570,46.7732978809,7.6923076923,14.9605491680,1.0000000000,0.9944000000,201.1263073210
50,100,0,11,100,100,0,0,4,250,2265,100,100,0.0649958564,46.7083020245,9.0909090909,15.1205680816,1.0000000000,1.0000000000,200.0000000000
51,100,0,10,100,100,0,0,4,237,2129,100,100,0.0630407233,46.6452613012,10.0000000000,15.2005572275,1.0000000000,0.9896000000,202.1018593371
