Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0439276237,48.3909695763,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,48.3598971991,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,48.3288248219,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,48.2977524447,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,48.2666800676,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,12,100,100,0,0,1,111,1364,100,100,0.0543653807,48.2123146868,8.3333333333,33.5814286929,1.0000000000,0.9829760000,215.6715932027,0,0,0,0,11
7,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,48.1863083489,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
8,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,48.1603020110,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
9,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,48.1342956730,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
10,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,48.1082893351,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0462156136,48.0620737215,14.2857142857,28.9175071427,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
