Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.1108276237,49.8640695763,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,49.8329971991,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,49.8019248219,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,49.7708524447,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,49.7397800676,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.2973409705,49.4424390971,9.0909090909,37.3127029717,1.0000000000,0.9829760000,215.6715932027,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0255093258,49.4169297713,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0255093258,49.3914204454,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0255093258,49.3659111196,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0255093258,49.3404017937,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
11,100,0,7,100,100,0,0,1,107,879,100,100,0.2018085672,49.1385932266,14.2857142857,42.1462286067,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0261980881,49.1123951384,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0261980881,49.0861970503,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0261980881,49.0599989621,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0261980881,49.0338008740,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
16,100,0,7,100,100,0,0,1,107,879,100,100,0.2020078751,48.8317929990,14.2857142857,35.7863019115,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0264425208,48.8053504782,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0264425208,48.7789079574,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0264425208,48.7524654366,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0264425208,48.7260229158,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
21,100,0,6,100,100,0,0,1,106,782,100,100,0.1779674041,48.5480555117,16.6666666667,28.4934719100,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0264497447,48.5216057670,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0264497447,48.4951560223,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0264497447,48.4687062777,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0264497447,48.4422565330,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
26,100,0,7,100,100,0,0,1,107,879,100,100,0.2020529055,48.2402036275,14.2857142857,31.5462411762,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
27,100,0,7,100,100,0,0,0,0,0,100,100,0.0264811778,48.2137224497,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
28,100,0,7,100,100,0,0,0,0,0,100,100,0.0264811778,48.1872412718,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
29,100,0,7,100,100,0,0,0,0,0,100,100,0.0264811778,48.1607600940,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
30,100,0,7,100,100,0,0,0,0,0,100,100,0.0264811778,48.1342789162,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
31,100,0,8,100,100,0,0,1,108,976,100,100,0.2262259710,47.9080529451,12.5000000000,28.4934862963,1.0000000000,0.9793280000,216.4749705921,0,0,0,0,7
32,100,0,8,100,100,0,0,0,0,0,100,100,0.0265998099,47.8814531352,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
33,100,0,8,100,100,0,0,0,0,0,100,100,0.0265998099,47.8548533253,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
34,100,0,8,100,100,0,0,0,0,0,100,100,0.0265998099,47.8282535153,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
35,100,0,8,100,100,0,0,0,0,0,100,100,0.0265998099,47.8016537054,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
